Date_Requete,Ticker,PE_trailing,ForwardPE,PE_Ratio,Prevision croissance 5 ans,Performance_Moyenne_10ans
01/11/2025,AMZN,34.49435,39.710567,1.1512194605783266,10.61%,67.73374863661073
01/11/2025,ASML,37.735306,39.671535,1.0513108069138222,11.08%,114.45347388568582
01/11/2025,NVDA,57.854286,49.14806,0.8495145891179091,24.21%,2893.259200867999
01/11/2025,GOOG,27.847828,31.48827,1.1307262455082674,11.97%,68.69771407552581
01/11/2025,BKNG,33.002342,24.196999,0.7331903596417492,9.24%,25.10772854774232
01/11/2025,NEM.DE,61.349693,50.76142,0.8274111493923857,,67.77330942277177
01/11/2025,CRM,37.905388,23.397125,0.6172506399354096,9.51%,23.225920658170416
01/11/2025,INTU,48.797512,30.02924,0.6153846532175657,13.29%,64.04805293315711
01/11/2025,MA,35.33867,33.699024,0.9536019323873819,12.26%,48.98461305672664
01/11/2025,MSFT,36.77628,34.63612,0.9418059684122483,12.91%,101.61609285247528
01/11/2025,SPGI,35.459244,28.983343,0.8173705846633392,6.88%,48.15118823695679
01/11/2025,V,33.438667,26.914692,0.8048972765571066,,38.57796343002632
