Date_Requete,Ticker,PE_trailing,ForwardPE,PE_Ratio,Prevision croissance 5 ans,Performance_Moyenne_10ans
09/08/2025,AMZN,33.894978,36.209755,1.0682926243527875,10.07%,74.99618166286726
09/08/2025,ASML,25.769533,27.053183,1.0498126993609083,11.39%,69.19800788534232
09/08/2025,NVDA,58.745983,44.34466,0.7548543361679725,20.33%,3164.6043361578763
09/08/2025,GOOG,21.544775,22.579887,1.0480446883293049,11.11%,54.15705390947185
09/08/2025,BKNG,37.73496,25.76083,0.6826780788955388,8.48%,31.35560557861379
09/08/2025,NEM.DE,85.0,69.898476,0.8223350117647059,,127.60127502517562
09/08/2025,CRM,37.579685,21.609163,0.5750224622691755,9.87%,24.04202019425385
09/08/2025,INTU,60.99349,33.693207,0.5524066092955167,13.60%,67.2781886161296
09/08/2025,MA,38.753036,35.062275,0.9047620165811009,,52.20817437431125
09/08/2025,MSFT,38.300804,34.919064,0.9117057699363178,12.45%,117.20457718288867
09/08/2025,SPGI,42.73753,33.127304,0.7751337992626154,6.20%,49.42699852723108
09/08/2025,V,32.88867,26.601896,0.8088468156359014,,38.549760712557784
